id,team_name,win_points,win_streak,prev_score,standing
9190,G大阪,,,,
9190,甲府,,,,
9190,FC東京,,,,
9190,磐田,,,,
9190,清水,,,,
9190,名古屋,,,,
9190,大宮,,,,
9190,浦和,,,,
9190,川崎F,,,,
9190,広島,,,,
9190,横浜FM,,,,
9190,千葉,,,,
9190,新潟,,,,
9190,鹿島,,,,
9190,京都,,,,
9190,福岡,,,,
9190,大分,,,,
9190,C大阪,,,,
9191,G大阪,1,0,1,
9191,甲府,,,,
9191,FC東京,,,,
9191,磐田,,,,
9191,清水,,,,
9191,名古屋,,,,
9191,大宮,,,,
9191,浦和,1,0,1,
9191,川崎F,,,,
9191,広島,,,,
9191,横浜FM,,,,
9191,千葉,,,,
9191,新潟,,,,
9191,鹿島,,,,
9191,京都,,,,
9191,福岡,,,,
9191,大分,,,,
9191,C大阪,,,,
9192,G大阪,1,0,1,
9192,甲府,0,0,0,
9192,FC東京,,,,
9192,磐田,,,,
9192,清水,3,1,2,
9192,名古屋,,,,
9192,大宮,,,,
9192,浦和,1,0,1,
9192,川崎F,,,,
9192,広島,,,,
9192,横浜FM,,,,
9192,千葉,,,,
9192,新潟,,,,
9192,鹿島,,,,
9192,京都,,,,
9192,福岡,,,,
9192,大分,,,,
9192,C大阪,,,,
9193,G大阪,1,0,1,
9193,甲府,0,0,0,
9193,FC東京,,1,2,
9193,磐田,,,,
9193,清水,3,1,2,
9193,名古屋,,,,
9193,大宮,,,,
9193,浦和,1,0,1,
9193,川崎F,,,,
9193,広島,,,,
9193,横浜FM,,,,
9193,千葉,,,,
9193,新潟,,,,
9193,鹿島,,,,
9193,京都,,,,
9193,福岡,,,,
9193,大分,0,0,0,
9193,C大阪,,,,
9194,G大阪,1,0,1,
9194,甲府,0,0,0,
9194,FC東京,,1,2,
9194,磐田,1,0,1,
9194,清水,3,1,2,
9194,名古屋,,,,
9194,大宮,,,,
9194,浦和,1,0,1,
9194,川崎F,,,,
9194,広島,,,,
9194,横浜FM,,,,
9194,千葉,,,,
9194,新潟,,,,
9194,鹿島,,,,
9194,京都,,,,
9194,福岡,1,0,1,
9194,大分,0,0,0,
9194,C大阪,,,,
9195,G大阪,1,0,1,
9195,甲府,0,0,0,
9195,FC東京,,1,2,
9195,磐田,1,0,1,
9195,清水,3,1,2,
9195,名古屋,,1,3,
9195,大宮,,,,
9195,浦和,1,0,1,
9195,川崎F,,,,
9195,広島,,,,
9195,横浜FM,,,,
9195,千葉,,,,
9195,新潟,,,,
9195,鹿島,,,,
9195,京都,,,,
9195,福岡,1,0,1,
9195,大分,0,0,0,
9195,C大阪,0,0,2,
9196,G大阪,1,0,1,
9196,甲府,0,0,0,
9196,FC東京,,1,2,
9196,磐田,1,0,1,
9196,清水,3,1,2,
9196,名古屋,,1,3,
9196,大宮,,1,4,
9196,浦和,1,0,1,
9196,川崎F,,,,
9196,広島,,,,
9196,横浜FM,,,,
9196,千葉,0,0,2,
9196,新潟,,,,
9196,鹿島,,,,
9196,京都,,,,
9196,福岡,1,0,1,
