id,kick_off_time,humidity,broadcasters,attendance,capacity,lat,lon,holiday,weather_encoded,match_year,match_month,match_day,address_encoded,group_encoded,section_encoded,home_team_encoded,away_team_encoded,away_distance
9190,1604,40,2,20916.0,21000,34.810305,135.5426977881143,1,2,2006,3,4,7,6,1,1,9,390855.0738553323
9191,1300,28,3,14277.0,15859,35.62243055,138.5898405799294,2,2,2006,3,5,10,1,1,2,6,74038.061330464
9192,1335,35,3,22531.0,47851,35.66418645,139.52707517816015,2,2,2006,3,5,15,7,1,3,19,775178.7442910713
9193,1404,42,1,28564.0,51697,34.743828,137.968162,2,2,2006,3,5,23,1,1,5,18,707214.8845914124
9194,1404,32,4,17199.0,20223,35.131623,136.933489,2,2,2006,3,5,13,1,1,7,20,138378.9962423149
9195,1503,33,3,13085.0,62010,35.903486900000004,139.71744524095004,2,2,2006,3,5,5,7,1,8,14,49463.23462024799
9196,1500,34,1,17444.0,26232,35.5858,139.6527088,2,2,2006,3,5,18,7,1,10,15,263086.33751001593
9197,1506,58,2,17564.0,36894,34.444006,132.394111,2,1,2006,3,5,11,0,1,11,16,761006.0792198044
9198,1535,34,3,23607.0,71624,35.5099882,139.60638254387774,2,2,2006,3,5,18,7,1,12,17,354765.8927872726
9199,1404,48,4,56512.0,62010,35.903486900000004,139.71744524095004,1,2,2006,3,11,5,7,2,9,5,158886.07457911022
9200,1502,51,4,11896.0,19470,35.577544849999995,140.12215979931813,1,2,2006,3,11,4,7,2,14,2,141039.8591045314
9201,1504,43,2,40266.0,41684,37.882408,139.059359,1,1,2006,3,11,14,1,2,15,3,249845.86483755003
9202,1504,70,2,13054.0,20248,34.985168,138.481305,1,1,2006,3,11,23,1,2,6,7,145218.32832004485
9203,1603,66,2,22454.0,38620,35.9920049,140.64036786659403,1,2,2006,3,11,20,7,2,16,12,108647.19724787172
9204,1606,50,4,7921.0,20588,34.993469899999994,135.7139887487088,1,2,2006,3,11,0,6,2,17,10,361152.57096310356
9205,1904,66,3,12040.0,22331,33.58731,130.463308,1,1,2006,3,11,19,2,2,18,8,877743.7749978954
9206,1406,54,2,17043.0,31997,33.20078235,131.65748521324446,2,3,2006,3,12,6,2,2,19,11,151963.64134861203
9207,1506,67,2,30561.0,47853,34.614434,135.515477,2,1,2006,3,12,7,6,2,20,1,8000.188030108939
9208,1404,44,3,19011.0,47851,35.66418645,139.52707517816015,1,1,2006,3,18,15,7,3,3,6,128972.61374845167
9209,1403,80,3,10560.0,15165,34.7251498,137.8751465,1,0,2006,3,18,23,1,3,5,17,196767.55142391118
9210,1405,87,3,16742.0,36894,34.444006,132.394111,1,0,2006,3,18,11,0,3,11,9,679130.7748856196
9211,1501,46,2,9368.0,62010,35.903486900000004,139.71744524095004,1,1,2006,3,18,5,7,3,8,15,230232.7909749306
9212,1504,39,2,9082.0,15859,35.62243055,138.5898405799294,1,1,2006,3,18,10,1,3,2,10,97404.44840185351
9213,1533,73,2,22651.0,43739,35.0845879,137.17087353460715,1,3,2006,3,18,13,1,3,7,16,327589.9752640838
9214,1604,58,1,8567.0,19470,35.577544849999995,140.12215979931813,1,1,2006,3,18,4,7,3,14,18,916242.0642114388
9215,1605,76,2,19307.0,71624,35.5099882,139.60638254387774,1,0,2006,3,18,18,7,3,12,20,383685.58862315014
9216,1904,79,2,8388.0,21000,34.810305,135.5426977881143,1,0,2006,3,18,7,6,3,1,19,402643.1863005992
9217,1404,24,2,14815.0,38620,35.9920049,140.64036786659403,3,2,2006,3,21,20,7,4,16,2,190645.0875610756
9218,1404,47,3,8585.0,22331,33.58731,130.463308,3,1,2006,3,21,19,2,4,18,7,618226.1666035109
9219,1504,25,3,43815.0,62010,35.903486900000004,139.71744524095004,3,2,2006,3,21,5,7,4,9,20,405011.0170694452
9220,1501,43,2,37585.0,41684,37.882408,139.059359,3,1,2006,3,21,14,1,4,15,5,328057.02201796265
9221,1504,32,2,12114.0,20248,34.985168,138.481305,3,2,2006,3,21,23,1,4,6,14,164392.61889793316
9222,1504,50,1,17341.0,31997,33.20078235,131.65748521324446,3,1,2006,3,21,6,2,4,19,12,775691.1799450627
9223,1604,24,2,14191.0,26232,35.5858,139.6527088,3,2,2006,3,21,18,7,4,10,3,12000.763824400372
9224,1904,66,3,5556.0,20588,34.993469899999994,135.7139887487088,3,2,2006,3,21,0,6,4,17,11,305447.5185884362
9225,1902,42,2,9019.0,21000,34.810305,135.5426977881143,0,1,2006,3,29,7,6,4,1,8,390855.0738553323
9226,1500,31,1,7354.0,21500,35.8715047,139.66588758343676,1,2,2006,3,25,5,7,5,8,6,153038.88701641242
9227,1504,58,2,11835.0,15165,34.7251498,137.8751465,1,2,2006,3,25,23,1,5,5,10,179977.01380053852
9228,1502,30,2,9442.0,47853,34.614434,135.515477,1,2,2006,3,25,7,6,5,20,15,481995.9002234609
9229,1504,29,1,13067.0,36894,34.444006,132.394111,1,2,2006,3,25,11,0,5,11,1,288012.1965961033
9230,1534,45,2,50572.0,71624,35.5099882,139.60638254387774,1,2,2006,3,25,18,7,5,12,9,38769.34110276329
9231,1805,46,2,8604.0,15859,35.62243055,138.5898405799294,1,2,2006,3,25,10,1,5,2,18,781811.6014608209
9232,1904,63,2,16546.0,19470,35.577544849999995,140.12215979931813,1,2,2006,3,25,4,7,5,14,16,89716.36306034999
9233,1405,44,3,11878.0,20223,35.131623,136.933489,2,2,2006,3,26,13,1,5,7,19,533470.2579665073
9234,1604,38,3,17033.0,47851,35.66418645,139.52707517816015,2,1,2006,3,26,15,7,5,3,17,350394.07806305087
9235,1502,46,2,20977.0,71624,35.5099882,139.60638254387774,1,2,2006,4,1,18,7,6,12,3,21330.7230963926
9236,1504,33,3,6282.0,47853,34.614434,135.515477,1,1,2006,4,1,7,6,6,20,2,301682.61126558646
9237,1904,64,2,10661.0,20248,34.985168,138.481305,1,1,2006,4,1,23,1,6,6,1,272970.98792230646
9238,1404,85,3,3670.0,20588,34.993469899999994,135.7139887487088,2,0,2006,4,2,0,6,6,17,18,511132.44698531996
9239,1504,69,1,11747.0,38620,35.9920049,140.64036786659403,2,1,2006,4,2,20,7,6,16,8,90807.37851436491
9240,1500,83,1,10316.0,26232,35.5858,139.6527088,2,0,2006,4,2,18,7,6,10,14,42685.8142786077
9241,1504,71,2,34071.0,41684,37.882408,139.059359,2,0,2006,4,2,14,1,6,15,11,708580.5554091018
9242,1504,29,2,17406.0,31997,33.20078235,131.65748521324446,2,3,2006,4,2,6,2,6,19,5,651049.3651863202
9243,1604,79,3,44625.0,62010,35.903486900000004,139.71744524095004,2,1,2006,4,2,5,7,6,9,7,267205.62503119215
